,ID,NumOfTweets,NumOfFollowers,NumOfFollowing,NumOfFavourites,NumOfTweetsPerDay,RetweetCount,ReplyCount,ProfilePic,O,C,E,A,N,O_Sc,C_Sc,E_Sc,A_Sc,N_Sc
91,434408224,41,91,230,43,0,15,28,http://pbs.twimg.com/profile_images/378800000842899785/8cdf5ad4b60dfc81bf6055961dc328cd_normal.jpeg,1,0,0,1,0,84,56,40,80,44
39,1192243477,44,476,174,1253,4,10,111,http://pbs.twimg.com/profile_images/863186840370675712/khdBJSl1_normal.jpg,1,1,1,1,0,84,72,88,68,56
71,732670984944254976,68,287,558,3403,49,83,37,http://pbs.twimg.com/profile_images/860062935699398656/4PUGBB_7_normal.jpg,1,0,0,1,0,80,48,56,80,48
54,742293182,1416,242,195,1093,5,686,857,http://pbs.twimg.com/profile_images/1013598556949827586/hFOxsJEQ_normal.jpg,0,1,1,1,1,52,64,68,72,60
62,358366144,90,2108,1885,3886,9,34,66,http://pbs.twimg.com/profile_images/863096869949501442/0OAcEv_G_normal.jpg,1,0,0,1,1,68,44,44,80,64
8,616575553,1180,3998,199,813,2,416,1126,http://pbs.twimg.com/profile_images/1024864668282757120/Ru2S2kLt_normal.jpg,1,1,1,1,1,96,92,64,92,60
9,758375143043391493,159,467,265,1296,2,1077,362,http://pbs.twimg.com/profile_images/872646210150125568/jY46znde_normal.jpg,1,1,1,1,1,96,92,64,60,68
87,916780868,76,195,162,676,0,11,41,http://pbs.twimg.com/profile_images/870664617198071808/0zBPxhf0_normal.jpg,1,1,0,1,0,76,72,48,68,52
85,79022336,13,81,199,0,0,4,14,http://pbs.twimg.com/profile_images/2357710582/xvcmx5klffo1nz7aa5z4_normal.jpeg,0,0,0,1,1,56,56,40,64,80
36,456694985,775,863,274,11324,22,335,1451,http://pbs.twimg.com/profile_images/1060962983877242880/YCoRVp-__normal.jpg,1,1,1,1,1,64,60,64,64,88
11,246321365,6,38,211,943,0,27,163,http://pbs.twimg.com/profile_images/689099907131674624/RczTnL3u_normal.jpg,1,0,0,1,0,96,56,48,72,56
72,3495117568,41,1017,498,16311,66,84,62,http://pbs.twimg.com/profile_images/872998870887923714/_iWn8CI-_normal.jpg,1,0,1,1,0,68,32,76,80,40
64,856141298239242241,7,15,27,93,0,5,23,http://pbs.twimg.com/profile_images/871802577456963585/6ulbGuQw_normal.jpg,1,0,0,1,0,76,36,40,80,56
